"","easy.time","easy.time2","batvalue","latitude","longitude"
"133",2018-02-16 09:34:10,"2018-02-16 09:34:10",77,40.4440287750415,-79.94611011656
"134",2018-02-16 09:37:10,"2018-02-16 09:37:10",77,40.44402698544,-79.946108679851
"135",2018-02-16 09:40:10,"2018-02-16 09:40:10",77,40.4440099904685,-79.946093650963
"136",2018-02-16 09:43:10,"2018-02-16 09:43:10",76,40.444044814036,-79.9461164828915
"137",2018-02-16 09:46:10,"2018-02-16 09:46:10",76,40.44403046028,-79.946111310566
"138",2018-02-16 09:49:10,"2018-02-16 09:49:10",76,40.444049128555,-79.9461333695155
"139",2018-02-16 09:52:10,"2018-02-16 09:52:10",76,40.444043552462,-79.9461196937775
"140",2018-02-16 09:55:10,"2018-02-16 09:55:10",75,40.444034003567,-79.9461005197845
"141",2018-02-16 17:46:47,"2018-02-16 17:46:47",28,40.442405757953,-79.937453207283
"142",2018-02-16 17:49:47,"2018-02-16 17:49:47",22,40.440269652792,-79.935489948913
"143",2018-02-16 17:52:47,"2018-02-16 17:52:47",20,40.439284411612,-79.933312469779
"144",2018-02-16 17:55:47,"2018-02-16 17:55:47",17,40.4392277186525,-79.9334354685365
"145",2018-02-16 17:58:47,"2018-02-16 17:58:47",11,40.439310091,-79.93338426302
"146",2018-02-16 18:01:47,"2018-02-16 18:01:47",3,40.439227718605,-79.9334354685375
"147",2018-02-16 18:04:47,"2018-02-16 18:04:47",0,40.439227718605,-79.9334354685375
"148",2018-02-16 18:09:54,"2018-02-16 18:09:54",10,40.441631399325,-79.920285958878
"149",2018-02-16 18:13:00,"2018-02-16 18:13:00",13,40.44163904109,-79.9202497193495
"150",2018-02-16 18:18:59,"2018-02-16 18:19:00",16,40.4415930170385,-79.9201074430515
"151",2018-02-16 18:24:59,"2018-02-16 18:24:59",17,40.441589639127,-79.919948002529
"152",2018-02-16 18:27:59,"2018-02-16 18:27:59",17,40.441589639213,-79.919948002544
"153",2018-02-16 18:30:59,"2018-02-16 18:30:59",18,40.441589639211,-79.919948002544
"154",2018-02-16 18:33:59,"2018-02-16 18:33:59",19,40.441633798865,-79.919999451724
"155",2018-02-16 18:39:59,"2018-02-16 18:40:00",21,40.4416109931025,-79.9201683251035
"156",2018-02-16 18:42:59,"2018-02-16 18:42:59",22,40.441593008376,-79.920055209537
"157",2018-02-16 18:45:59,"2018-02-16 18:45:59",23,40.441593008387,-79.920055209532
"158",2018-02-16 18:48:59,"2018-02-16 18:49:00",24,40.4416109931155,-79.9201683250975
"159",2018-02-16 18:54:59,"2018-02-16 18:55:00",26,40.441635070561,-79.920161477241
"160",2018-02-16 18:57:59,"2018-02-16 18:58:00",27,40.441635663704,-79.9201623270175
"161",2018-02-16 19:00:59,"2018-02-16 19:01:00",28,40.4416356636985,-79.92016232701
"162",2018-02-16 20:10:11,"2018-02-16 20:10:12",63,40.437283222601,-79.9229859934
"163",2018-02-16 20:13:11,"2018-02-16 20:13:12",62,40.436131235941,-79.922939068189
"164",2018-02-16 20:16:11,"2018-02-16 20:16:12",61,40.4361290281885,-79.922960071689
"165",2018-02-16 20:19:11,"2018-02-16 20:19:12",61,40.436126669128,-79.922894520243
"166",2018-02-16 20:22:11,"2018-02-16 20:22:12",58,40.437958175354,-79.9226453947645
