"","id","time","activity.name","activity.type","accuracy","easy.time","day","hour","minute","second"
"102",102,1518713131085,"[""stationary""]",2,1,2018-02-15 11:45:31,15,11,45,31.085000038147
"103",103,1518713311003,"[""stationary""]",2,1,2018-02-15 11:48:31,15,11,48,31.0030000209808
"104",104,1518713491042,"[""stationary""]",2,1,2018-02-15 11:51:31,15,11,51,31.0420000553131
"105",105,1518713500686,"[""stationary""]",2,1,2018-02-15 11:51:40,15,11,51,40.6860001087189
"106",106,1518713671084,"[""stationary""]",2,1,2018-02-15 11:54:31,15,11,54,31.0840001106262
"107",107,1518713796552,"[""stationary""]",2,1,2018-02-15 11:56:36,15,11,56,36.5520000457764
"108",108,1518714004117,"[""stationary""]",2,1,2018-02-15 12:00:04,15,12,0,4.11700010299683
"109",109,1518714004117,"[""stationary""]",2,1,2018-02-15 12:00:04,15,12,0,4.11700010299683
"110",110,1518714031036,"[""stationary""]",2,1,2018-02-15 12:00:31,15,12,0,31.0360000133514
"111",111,1518714096803,"[""stationary""]",2,1,2018-02-15 12:01:36,15,12,1,36.8029999732971
"112",112,1518714211059,"[""stationary""]",2,1,2018-02-15 12:03:31,15,12,3,31.0590000152588
"113",113,1518714328527,NA,2,0,2018-02-15 12:05:28,15,12,5,28.5269999504089
"114",114,1518714368917,"[""stationary""]",2,1,2018-02-15 12:06:08,15,12,6,8.91700005531311
"115",115,1518714369543,"[""stationary""]",2,1,2018-02-15 12:06:09,15,12,6,9.54299998283386
"116",116,1518714391075,"[""stationary""]",2,1,2018-02-15 12:06:31,15,12,6,31.0750000476837
"117",117,1518714391783,NA,2,0,2018-02-15 12:06:31,15,12,6,31.7829999923706
"118",118,1518714394921,"[""walking""]",1,0,2018-02-15 12:06:34,15,12,6,34.9210000038147
"119",119,1518714397428,NA,2,0,2018-02-15 12:06:37,15,12,6,37.4279999732971
"120",120,1518714491069,"[""stationary""]",2,1,2018-02-15 12:08:11,15,12,8,11.069000005722
"121",121,1518714495768,NA,2,0,2018-02-15 12:08:15,15,12,8,15.7679998874664
"122",122,1518714529583,"[""stationary""]",2,1,2018-02-15 12:08:49,15,12,8,49.5829999446869
"123",123,1518714566219,NA,2,0,2018-02-15 12:09:26,15,12,9,26.2190001010895
"124",124,1518714566219,NA,2,0,2018-02-15 12:09:26,15,12,9,26.2190001010895
"125",125,1518714571090,NA,2,0,2018-02-15 12:09:31,15,12,9,31.0899999141693
"126",126,1518714589396,"[""stationary""]",2,1,2018-02-15 12:09:49,15,12,9,49.3959999084473
"127",127,1518714609442,NA,2,0,2018-02-15 12:10:09,15,12,10,9.44199991226196
"128",128,1518714637001,"[""stationary""]",2,1,2018-02-15 12:10:37,15,12,10,37.0009999275208
"129",129,1518714722499,NA,2,0,2018-02-15 12:12:02,15,12,12,2.49900007247925
"130",130,1518714729059,"[""stationary""]",2,1,2018-02-15 12:12:09,15,12,12,9.05900001525879
"131",131,1518714734074,NA,2,0,2018-02-15 12:12:14,15,12,12,14.0739998817444
"132",132,1518714738135,"[""stationary""]",2,1,2018-02-15 12:12:18,15,12,12,18.1349999904633
"133",133,1518714740644,"[""stationary""]",2,1,2018-02-15 12:12:20,15,12,12,20.6440000534058
"134",134,1518714783541,"[""stationary""]",2,1,2018-02-15 12:13:03,15,12,13,3.54099988937378
"135",135,1518714783541,"[""stationary""]",2,1,2018-02-15 12:13:03,15,12,13,3.54099988937378
"136",136,1518714931077,"[""stationary""]",2,1,2018-02-15 12:15:31,15,12,15,31.0769999027252
