"","easy.time","easy.time2","batvalue","latitude","longitude"
"153",2018-02-16 01:46:34,"2018-02-16 01:46:34",19,40.441668769563,-79.920003917218
"154",2018-02-16 01:49:34,"2018-02-16 01:49:34",22,40.4416687695625,-79.9200039172185
"155",2018-02-16 01:52:34,"2018-02-16 01:52:34",24,40.441594426652,-79.9200120342925
"156",2018-02-16 01:55:34,"2018-02-16 01:55:34",26,40.441608826947,-79.9200603574383
"157",2018-02-16 01:58:34,"2018-02-16 01:58:34",29,40.4415670355615,-79.9200038956935
"158",2018-02-16 02:00:07,"2018-02-16 02:00:07",30,40.44144171642,-79.919834526899
"159",NA,"2018-02-16 02:00:10",29.4285714285714,40.4415981208435,-79.9198500900785
"160",2018-02-16 02:03:07,"2018-02-16 02:03:07",31,40.44144171642,-79.919834526899
"161",NA,"2018-02-16 02:03:08",31.4897959183673,40.44144171642,-79.919834526899
"162",2018-02-16 02:05:07,"2018-02-16 02:05:07",33,40.441441713549,-79.919834526041
"163",2018-02-16 02:06:07,"2018-02-16 02:06:07",33,40.441441713549,-79.919834526041
"164",NA,"2018-02-16 02:06:08",33.4149659863946,40.441441713549,-79.919834526041
"165",2018-02-16 02:09:07,"2018-02-16 02:09:07",35,40.441634671197,-79.919847339049
"166",NA,"2018-02-16 02:09:08",35.0691609977324,40.441441713549,-79.919834526041
"167",2018-02-16 02:10:58,"2018-02-16 02:10:58",37,40.441527408316,-79.919840873985
"168",NA,"2018-02-16 02:11:12",37.7834467120181,40.43915873,-79.91829506
"169",NA,"2018-02-16 02:11:13",39.3565759637188,40.441527408316,-79.919840873985
"170",2018-02-16 02:13:58,"2018-02-16 02:13:58",39,40.441557368504,-79.919887252918
"171",2018-02-16 02:16:58,"2018-02-16 02:16:58",41,40.4414708424925,-79.919812801931
"172",2018-02-16 02:19:58,"2018-02-16 02:19:58",44,40.441470839166,-79.9198128051245
"173",2018-02-16 02:22:58,"2018-02-16 02:22:58",46,40.4414708361795,-79.9198128079935
"174",2018-02-16 02:25:58,"2018-02-16 02:25:58",49,40.4414991209005,-79.9198268422838
"175",2018-02-16 02:25:58,"2018-02-16 02:25:58",49,40.4414991209005,-79.9198268422838
"176",2018-02-16 02:28:58,"2018-02-16 02:28:58",51,40.441470831048,-79.9198128129235
"177",2018-02-16 02:31:58,"2018-02-16 02:31:58",54,40.441470828838,-79.919812815047
